Année,Joueur,Club
2022,Karim Benzema,Real Madrid
2021,Lionel Messi,Paris SG
2019,Lionel Messi,FC Barcelone
2018,Luka Modric,Real Madrid
2017,Cristiano Ronaldo,Real Madrid
2016,Cristiano Ronaldo,Real Madrid
2015,Lionel Messi,FC Barcelone
2014,Cristiano Ronaldo,Real Madrid
2013,Cristiano Ronaldo,Real Madrid
2012,Lionel Messi,FC Barcelone
2011,Lionel Messi,FC Barcelone
2010,Lionel Messi,FC Barcelone
2009,Lionel Messi,FC Barcelone
2008,Cristiano Ronaldo,Manchester Utd
2007,Kaká,Milan AC
2006,Fabio Cannavaro,Real Madrid
2005,Ronaldinho,FC Barcelone
2004,Andriy Chevtchenko,Milan AC
2003,Pavel Nedved,Juventus
2002,Ronaldo,Real Madrid
2001,Michael Owen,Liverpool FC
2000,Luís Figo,Real Madrid
1999,Rivaldo,FC Barcelone
1998,Zinédine Zidane,Juventus
1997,Ronaldo,Inter Milan
1996,Matthias Sammer,Bor. Dortmund
1995,George Weah,Milan AC
1994,Hristo Stoichkov,FC Barcelone
1993,Roberto Baggio,Juventus
1992,Marco van Basten,Milan AC
1991,Jean-Pierre Papin,Marseille
1990,Lothar Matthäus,Inter Milan
1989,Marco van Basten,Milan AC
1988,Marco van Basten,Milan AC
1987,Ruud Gullit,Milan AC
1986,Igor Belanov,Dinamo Kiev
1985,Michel Platini,Juventus
1984,Michel Platini,Juventus
1983,Michel Platini,Juventus
1982,Paolo Rossi,Juventus
1981,K-H. Rummenigge,Bayern Munich
1980,K-H. Rummenigge,Bayern Munich
1979,Kevin Keegan,Hambourg SV
1978,Kevin Keegan,Hambourg SV
1977,Allan Simonsen,Bor. M'Gladbach
1976,Franz Beckenbauer,Bayern Munich
1975,Oleg Blokhine,Dinamo Kiev
1974,Johan Cruyff,FC Barcelone
1973,Johan Cruyff,FC Barcelone
1972,Franz Beckenbauer,Bayern Munich
1971,Johan Cruyff,Ajax Amsterdam
1970,Gerd Müller,Bayern Munich
1969,Gianni Rivera,Milan AC
1968,George Best,Manchester Utd
1967,Flórián Albert,Ferencváros TC
1966,Bobby Charlton,Manchester Utd
1965,Eusébio,Benfica Lisbonne
1964,Denis Law,Manchester Utd
1963,Lev Yachine,Dynamo Moscou
1962,Josef Masopust,Dukla Prague
1961,Omar Sívori,Juventus
1960,Luis Suárez,FC Barcelone
1959,Alfredo Di Stéfano,Real Madrid
1958,Raymond Kopa,Real Madrid
1957,Alfredo Di Stéfano,Real Madrid
1956,Stanley Matthews,Blackpool
